Volumenindex des Auftragseingangs, Tiefbau
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), 2021=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %;Kalender- und saisonbereinigte Werte (BV 4.1), 2021=100;Kalender- und saisonbereinigte Werte (BV 4.1), Veränderung gegenüber Vormonat in %;Restkomponente (BV 4.1)
01/01/2017;72,4;6,0;93,5;0,1;93,7;3,5;0,2
01/02/2017;79,9;-4,4;93,7;0,3;88,7;-5,3;-5,0
01/03/2017;119,5;5,7;94,1;0,4;95,9;8,1;1,7
01/04/2017;106,2;-1,0;94,5;0,4;97,0;1,2;2,5
01/05/2017;104,1;7,0;94,8;0,4;93,7;-3,4;-1,1
01/06/2017;107,7;-1,7;95,2;0,4;95,2;1,6;-0,0
01/07/2017;106,4;8,8;95,6;0,4;99,3;4,3;3,7
01/08/2017;94,9;2,6;96,0;0,4;96,0;-3,3;-0,0
01/09/2017;93,8;3,4;96,3;0,3;96,9;1,0;0,7
01/10/2017;85,3;-6,2;96,6;0,3;94,0;-3,0;-2,6
01/11/2017;83,4;2,8;96,8;0,2;95,3;1,4;-1,6
01/12/2017;89,3;10,1;97,2;0,4;95,6;0,3;-1,7
01/01/2018;76,5;5,7;97,7;0,5;97,0;1,5;-0,7
01/02/2018;98,5;23,3;98,2;0,5;103,7;7,0;5,6
01/03/2018;112,9;-5,5;98,9;0,7;95,2;-8,2;-3,7
01/04/2018;107,5;1,2;99,7;0,8;98,4;3,3;-1,3
01/05/2018;110,3;6,0;100,8;1,1;103,1;4,8;2,3
01/06/2018;115,7;7,4;101,8;1,0;102,1;-0,9;0,3
01/07/2018;105,5;-0,8;102,8;1,0;99,5;-2,6;-3,4
01/08/2018;103,4;9,0;103,7;0,8;105,8;6,3;2,1
01/09/2018;95,6;1,9;104,5;0,7;101,6;-3,9;-2,9
01/10/2018;100,3;17,6;105,0;0,5;106,2;4,6;1,2
01/11/2018;96,5;15,7;105,4;0,3;106,9;0,6;1,5
01/12/2018;108,4;21,4;105,4;0,0;110,3;3,2;4,9
01/01/2019;83,5;9,2;105,3;-0,1;103,3;-6,4;-2,0
01/02/2019;97,3;-1,2;105,1;-0,1;105,4;2,0;0,2
01/03/2019;125,1;10,8;104,9;-0,2;108,6;3,1;3,7
01/04/2019;112,2;4,4;104,6;-0,3;102,8;-5,4;-1,8
01/05/2019;109,3;-0,9;103,9;-0,6;102,0;-0,7;-1,9
01/06/2019;108,7;-6,1;103,5;-0,4;99,1;-2,9;-4,4
01/07/2019;115,0;9,0;103,1;-0,4;107,2;8,2;4,1
01/08/2019;92,7;-10,3;102,7;-0,4;99,6;-7,1;-3,1
01/09/2019;103,1;7,8;102,4;-0,3;105,8;6,3;3,5
01/10/2019;95,8;-4,5;102,1;-0,3;101,7;-3,9;-0,4
01/11/2019;92,5;-4,1;101,8;-0,3;101,2;-0,5;-0,6
01/12/2019;100,3;-7,5;101,6;-0,2;99,5;-1,7;-2,2
01/01/2020;87,1;4,3;101,5;-0,2;102,9;3,4;1,4
01/02/2020;85,2;-12,4;101,5;0,0;96,9;-5,8;-4,6
01/03/2020;114,0;-8,9;101,5;0,0;101,1;4,3;-0,4
01/04/2020;115,7;3,1;101,7;0,2;104,0;2,9;2,3
01/05/2020;105,2;-3,8;101,9;0,2;102,9;-1,1;1,0
01/06/2020;126,0;15,9;101,9;-0,0;109,9;6,8;8,0
01/07/2020;101,7;-11,6;101,6;-0,3;98,8;-10,1;-2,9
01/08/2020;92,7;0,0;101,2;-0,4;100,8;2,1;-0,4
01/09/2020;100,7;-2,3;100,9;-0,3;97,0;-3,8;-3,9
01/10/2020;92,1;-3,9;100,5;-0,4;99,6;2,7;-0,9
01/11/2020;90,0;-2,7;100,2;-0,3;100,6;1,0;0,3
01/12/2020;106,3;6,0;99,9;-0,3;101,4;0,8;1,5
01/01/2021;83,9;-3,7;99,6;-0,3;99,6;-1,7;0,0
01/02/2021;91,9;7,9;99,4;-0,2;101,7;2,1;2,3
01/03/2021;109,8;-3,7;99,3;-0,1;97,6;-4,1;-1,7
01/04/2021;109,2;-5,6;99,3;-0,0;99,6;2,1;0,4
01/05/2021;99,6;-5,3;99,5;0,3;98,2;-1,4;-1,3
01/06/2021;109,7;-12,9;99,7;0,2;95,8;-2,5;-3,9
01/07/2021;98,2;-3,4;99,9;0,2;98,0;2,3;-1,9
01/08/2021;98,1;5,8;100,2;0,3;102,8;4,8;2,6
01/09/2021;110,0;9,2;100,0;-0,2;105,2;2,4;5,2
01/10/2021;92,3;0,2;99,7;-0,4;97,8;-7,0;-1,8
01/11/2021;92,7;3,0;99,3;-0,4;99,7;1,9;0,4
01/12/2021;103,9;-2,3;99,0;-0,3;99,5;-0,2;0,5
01/01/2022;85,8;2,3;98,6;-0,4;101,5;2,1;2,9
01/02/2022;90,5;-1,5;98,0;-0,6;97,5;-4,0;-0,5
01/03/2022;130,7;19,0;97,4;-0,6;119,8;22,9;22,4
01/04/2022;101,9;-6,7;96,8;-0,7;96,0;-19,9;-0,8
01/05/2022;102,3;2,7;96,1;-0,6;97,1;1,2;0,9
01/06/2022;102,2;-6,8;95,5;-0,7;95,6;-1,5;0,1
01/07/2022;98,1;-0,1;94,8;-0,7;94,6;-1,1;-0,2
01/08/2022;92,5;-5,7;94,3;-0,5;91,6;-3,2;-2,8
01/09/2022;93,3;-15,2;94,1;-0,3;90,6;-1,1;-3,5
01/10/2022;95,2;3,1;94,3;0,3;96,7;6,7;2,3
01/11/2022;88,2;-4,9;94,7;0,4;97,4;0,7;2,7
01/12/2022;93,9;-9,6;95,1;0,5;93,3;-4,2;-1,8
01/01/2023;75,0;-12,6;95,9;0,8;93,7;0,5;-2,1
01/02/2023;91,3;0,9;96,7;0,8;97,7;4,2;1,0
01/03/2023;111,4;-14,8;97,4;0,8;97,2;-0,6;-0,3
01/04/2023;98,0;-3,8;98,2;0,8;97,0;-0,2;-1,2
01/05/2023;105,2;2,8;98,9;0,7;100,2;3,3;1,3
01/06/2023;105,6;3,3;99,6;0,8;97,4;-2,8;-2,3
01/07/2023;111,7;13,9;100,3;0,6;104,9;7,7;4,6
01/08/2023;124,6;34,7;100,8;0,5;121,4;15,8;20,6
01/09/2023;104,2;11,7;101,3;0,5;103,7;-14,6;2,4
