datum,originalwert_messzahlen_2015100,originalwert_vernderung_gegenber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_messzahlen_2015100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vormonat_in_,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,kalender_und_saisonbereinigte_werte_bv_41_vernderung_gegenber_vormonat_in_,restkomponente_bv_41
01/12/2021,147.8,5.3,130.3,0.8,129.9,0.5,-0.3
01/01/2022,119.3,18.5,131.2,0.7,130.7,0.6,-0.5
01/02/2022,118.7,15.4,132.0,0.6,134.4,2.8,2.4
01/03/2022,138.6,3.9,132.7,0.6,133.8,-0.5,1.1
01/04/2022,135.0,12.9,133.2,0.4,136.2,1.8,3.0
01/05/2022,136.9,12.1,133.7,0.4,133.2,-2.3,-0.5
01/06/2022,130.9,-0.3,134.1,0.3,130.9,-1.7,-3.2
01/07/2022,133.4,4.8,134.6,0.4,134.2,2.5,-0.5
01/08/2022,130.8,8.5,135.1,0.4,135.2,0.8,0.1
01/09/2022,134.7,10.7,135.5,0.3,137.3,1.5,1.8
01/10/2022,135.4,3.9,135.8,0.2,135.5,-1.3,-0.3
01/11/2022,147.1,4.5,136.1,0.2,136.1,0.4,0.0
01/12/2022,153.9,4.1,136.4,0.2,136.9,0.6,0.6
01/01/2023,125.4,5.1,136.6,0.2,136.5,-0.3,-0.1
01/02/2023,121.8,2.6,136.8,0.2,135.8,-0.5,-1.0
01/03/2023,142.2,2.6,137.1,0.2,136.5,0.5,-0.5
01/04/2023,133.7,-1.0,137.3,0.2,136.1,-0.3,-1.2
01/05/2023,141.0,3.0,137.6,0.2,138.3,1.6,0.7
01/06/2023,140.5,7.3,137.8,0.2,140.4,1.5,2.6
01/07/2023,137.1,2.8,137.9,0.1,138.1,-1.6,0.2
01/08/2023,134.0,2.4,138.0,0.1,137.6,-0.3,-0.4
01/09/2023,134.1,-0.4,138.2,0.1,138.0,0.2,-0.2
01/10/2023,139.0,2.7,138.3,0.1,137.6,-0.2,-0.6
01/11/2023,149.0,1.3,138.4,0.1,137.7,0.1,-0.7
01/12/2023,152.8,-0.7,138.6,0.1,138.3,0.4,-0.3
01/01/2024,127.6,1.8,138.8,0.2,138.6,0.3,-0.2
01/02/2024,127.5,4.7,139.1,0.2,140.4,1.2,1.2
01/03/2024,142.6,0.3,139.4,0.2,140.1,-0.2,0.7
