datum,originalwert_messzahlen_2015100,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_messzahlen_2015100,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,restkomponente_bv_41
01/08/2019,103.9,-1.3,108.6,0.0,108.4,-0.4,-0.2
01/09/2019,110.4,4.7,108.5,-0.1,108.8,0.4,0.3
01/10/2019,115.3,1.3,108.4,-0.1,108.0,-0.8,-0.4
01/11/2019,112.5,-1.5,108.3,-0.1,107.9,-0.1,-0.4
01/12/2019,105.3,4.8,108.3,-0.1,108.2,0.2,-0.1
01/01/2020,104.4,0.8,108.3,0.0,108.6,0.4,0.3
01/02/2020,104.1,2.8,108.3,0.0,109.9,1.2,1.6
01/03/2020,118.8,7.6,108.4,0.0,109.6,-0.3,1.3
01/04/2020,101.6,-7.1,108.4,0.1,104.9,-4.3,-3.5
01/05/2020,101.5,-7.2,108.6,0.1,107.6,2.6,-1.0
01/06/2020,110.1,7.0,108.9,0.3,108.8,1.1,-0.1
01/07/2020,111.3,-0.4,109.2,0.3,109.1,0.3,-0.1
01/08/2020,102.6,-1.3,109.6,0.3,110.2,1.0,0.6
01/09/2020,115.2,4.3,109.9,0.3,110.0,-0.2,0.0
01/10/2020,118.0,2.3,110.3,0.3,111.0,0.9,0.7
01/11/2020,116.2,3.3,110.7,0.3,111.8,0.7,1.1
01/12/2020,116.0,10.2,111.0,0.3,111.4,-0.4,0.4
01/01/2021,94.9,-9.1,111.2,0.2,105.6,-5.2,-5.6
01/02/2021,99.1,-4.8,111.5,0.2,108.6,2.8,-3.0
01/03/2021,125.6,5.7,111.8,0.3,112.1,3.2,0.3
01/04/2021,111.2,9.4,112.1,0.2,113.7,1.5,1.7
01/05/2021,107.4,5.8,112.2,0.1,112.8,-0.8,0.6
01/06/2021,117.0,6.3,112.3,0.1,112.4,-0.4,0.0
01/07/2021,111.0,-0.3,112.5,0.1,112.1,-0.3,-0.4
01/08/2021,107.3,4.6,112.7,0.2,111.8,-0.3,-0.9
01/09/2021,117.0,1.6,113.0,0.2,112.7,0.8,-0.3
01/10/2021,116.4,-1.4,113.2,0.2,113.1,0.4,-0.1
01/11/2021,119.9,3.2,113.5,0.2,112.7,-0.4,-0.8
01/12/2021,120.4,3.8,113.7,0.2,114.2,1.4,0.5
01/01/2022,105.0,10.6,113.9,0.2,113.8,-0.4,-0.1
01/02/2022,107.3,8.3,114.0,0.1,115.8,1.7,1.8
01/03/2022,126.4,0.6,114.0,-0.0,113.9,-1.6,-0.1
01/04/2022,109.8,-1.3,113.8,-0.1,114.0,0.1,0.2
01/05/2022,113.3,5.5,113.6,-0.2,113.0,-0.9,-0.7
01/06/2022,115.6,-1.2,113.4,-0.2,113.3,0.3,-0.1
01/07/2022,109.9,-1.0,113.0,-0.3,113.4,0.1,0.3
01/08/2022,112.6,4.9,112.6,-0.4,113.3,-0.0,0.7
01/09/2022,116.4,-0.5,112.2,-0.4,112.4,-0.8,0.2
01/10/2022,111.7,-4.0,111.7,-0.4,111.8,-0.6,0.1
01/11/2022,118.7,-1.0,111.3,-0.4,111.6,-0.2,0.3
01/12/2022,112.3,-6.7,110.8,-0.4,109.9,-1.6,-1.0
01/01/2023,103.6,-1.3,110.4,-0.4,110.2,0.3,-0.2
01/02/2023,102.1,-4.8,110.0,-0.4,109.6,-0.6,-0.4
01/03/2023,121.1,-4.2,109.6,-0.4,109.5,-0.0,-0.1
01/04/2023,100.8,-8.2,109.2,-0.3,108.4,-1.0,-0.8
01/05/2023,109.6,-3.3,108.9,-0.3,109.6,1.1,0.7
01/06/2023,114.1,-1.3,108.6,-0.3,109.1,-0.4,0.5
01/07/2023,105.1,-4.4,108.3,-0.3,108.5,-0.6,0.2
01/08/2023,107.0,-5.0,108.1,-0.2,108.1,-0.4,-0.0
01/09/2023,108.9,-6.4,107.9,-0.2,107.8,-0.3,-0.1
01/10/2023,109.7,-1.8,107.8,-0.1,107.7,-0.1,-0.1
01/11/2023,113.8,-4.1,107.6,-0.1,107.4,-0.2,-0.3
01/12/2023,104.5,-6.9,107.5,-0.1,108.3,0.8,0.8
01/01/2024,101.7,-1.8,107.4,-0.1,106.8,-1.3,-0.6
01/02/2024,104.6,2.4,107.3,-0.1,107.1,0.3,-0.2
01/03/2024,109.6,-9.5,107.2,-0.1,107.3,0.2,0.1
01/04/2024,109.9,9.0,107.2,0.0,107.6,0.3,0.4
01/05/2024,104.5,-4.7,107.3,0.0,107.2,-0.4,-0.1
01/06/2024,108.1,-5.3,107.4,0.1,107.0,-0.2,-0.4
01/07/2024,110.5,5.1,107.5,0.2,107.2,0.2,-0.3
01/08/2024,102.3,-4.4,107.8,0.2,107.9,0.6,0.1
01/09/2024,108.5,-0.4,108.0,0.2,107.6,-0.2,-0.4
01/10/2024,113.6,3.6,108.3,0.3,107.7,0.1,-0.6
01/11/2024,112.1,-1.5,108.6,0.3,108.7,0.9,0.1
01/12/2024,105.1,0.6,108.9,0.3,108.7,0.0,-0.2
01/01/2025,104.8,3.0,109.2,0.3,110.0,1.2,0.8
01/02/2025,103.1,-1.4,109.5,0.2,110.1,0.0,0.6
01/03/2025,113.7,3.7,109.7,0.2,109.1,-0.9,-0.6
01/04/2025,110.8,0.8,109.9,0.2,110.1,0.9,0.2
01/05/2025,108.8,4.1,110.1,0.2,109.9,-0.2,-0.2
01/06/2025,109.7,1.5,110.2,0.2,110.4,0.5,0.1
01/07/2025,113.6,2.8,110.4,0.1,110.6,0.2,0.2
01/08/2025,100.4,-1.9,110.4,0.1,109.4,-1.0,-1.0
01/09/2025,115.9,6.8,110.5,0.0,111.2,1.6,0.8
01/10/2025,117.0,3.0,110.4,-0.0,111.4,0.2,1.0
01/11/2025,110.2,-1.7,110.4,0.0,110.2,-1.1,-0.3
01/12/2025,108.9,3.6,110.5,0.0,109.4,-0.7,-1.1
01/01/2026,102.2,-2.5,110.5,0.0,110.0,0.6,-0.5
